time (h),Predicted,Upper Bound,Lower Bound
1,0.0028649728010350373,0.26507697685653825,0.0
2,0.004710629020943695,0.2669225942915131,0.0
3,0.008920178469755532,0.27113211859927694,0.0
4,0.01723711274098605,0.27944899935383355,0.0
5,0.01723711274098605,0.2794489759793789,0.0
6,0.03389565382773677,0.29610749657154933,0.0
7,0.06543116178363562,0.32764297552839333,0.0
8,0.12773169158026576,0.3899434927855474,0.0
9,0.23619295905033746,0.49840478893872453,0.0
10,0.7179234772920609,0.9801354019421955,0.45571155264192614
11,0.7175913453102112,0.9798033591563026,0.4553793314641198
12,0.7859828968842825,1.048195047786501,0.523770745982064
13,0.8516761610905329,1.1138885016851021,0.5894638204959636
14,0.8744769344727198,1.1366895162884432,0.6122643526569964
15,0.883178730805715,1.145391608817865,0.6209658527935649
16,0.9214265843232473,1.183639747674007,0.6592134209724876
17,0.9442170659701029,1.2064304785904318,0.6820036533497741
18,0.9529573619365692,1.2151711120769346,0.6907436117962037
19,0.9655724316835403,1.2277865463154465,0.7033583170516342
20,0.9665724287430445,1.2287868535857813,0.7043580039003077
21,0.9755450884501139,1.237759762917337,0.7133304139828909
22,0.977888748049736,1.2401034935838682,0.7156740025156039
23,0.9786456177632014,1.2408597931897376,0.7164314423366651
24,0.9786456177632014,1.240859548373709,0.7164316871526938
25,0.9771399845679601,1.2393539447856359,0.7149260243502844
26,0.9752678076426188,1.237481923135848,0.7130536921493894
27,0.965979794661204,1.228194128269569,0.703765461052839
28,0.965979794661204,1.2281943785929923,0.7037652107294157
29,0.9631792108217875,1.225394048605791,0.7009643730377838
30,0.9542946070432663,1.2165097375009726,0.69207947658556
31,0.951566219329834,1.2137815611957943,0.6893508774638737
32,0.9497539401054382,1.2119694204830664,0.68753845972781
33,0.9394416411717733,1.2016572874397715,0.6772259949037751
34,0.937549963593483,1.1997657986369654,0.6753341285500005
35,0.9168534825245539,1.1790696402824308,0.6546373247666769
36,0.9160150984923044,1.1782321272476262,0.6537980697369826
37,0.9134902507066727,1.1757077366520121,0.6512727647613332
