time (h),Predicted,Upper Bound,Lower Bound
0.5,0.0013956673234739962,0.19679431210010873,0.0
1.0,0.0013956673234739962,0.1967942982815932,0.0
1.5,0.004099658087701148,0.19949830975376717,0.0
2.0,0.004099658087701148,0.19949835725422257,0.0
2.5,0.010982160970646268,0.20638086097294958,0.0
3.0,0.029709713572325807,0.22510849337075675,0.0
3.5,0.07194598523589472,0.26734487056134865,0.0
4.0,0.1635271174212297,0.3589261446714311,0.0
4.5,0.27170711755752563,0.4671063341811255,0.07630790093392575
5.0,0.38905519619584084,0.5844546027916333,0.19365578960004837
5.5,0.5266807476679484,0.7220803660481987,0.3312811292876981
6.0,0.647400344411532,0.8428001679060766,0.45200052091698745
6.5,0.7229806383450826,0.918380695178229,0.5275805815119363
7.0,0.7229806383450826,0.9183809744282639,0.5275803022619013
7.5,0.78147720793883,0.9768778222004354,0.5860765936772246
8.0,0.8254603644212087,1.0208612434161308,0.6300594854262866
8.5,0.8613997449477514,1.0568008506647804,0.6659986392307224
9.0,0.8871730516354243,1.0825743463893946,0.6917717568814539
9.5,0.9037872503201166,1.099188669558477,0.7083858310817563
10.0,0.9039787103732427,1.099380178300148,0.7085772424463376
10.5,0.9368134091297785,1.1322150728555778,0.7414117454039792
11.0,0.95591468612353,1.1513164377854077,0.7605129344616524
11.5,0.9700096597274145,1.1654112836729966,0.7746080357818325
12.0,0.978834718465805,1.1742359827689741,0.783433454162636
12.5,0.9828933080037435,1.1782942542033767,0.7874923618041103
13.0,0.9960044970115026,1.1914053072872883,0.8006036867357168
13.5,1.0008403410514195,1.1962412344086804,0.8054394476941587
14.0,1.0051596860090892,1.2005608253401001,0.8097585466780782
14.5,1.0171472976605098,1.2125487855514694,0.8217458097695503
15.0,1.0141177972157795,1.2095196606014584,0.8187159338301007
15.5,1.0186023513476055,1.2140045838539757,0.8232001188412352
16.0,1.0172630896170933,1.212665691250745,0.8218604879834417
16.5,1.006433313091596,1.2018362246654408,0.811030401517751
17.0,1.0085683713356655,1.2039715675476903,0.8131651751236405
17.5,1.014256626367569,1.2096600759942804,0.8188531767408576
18.0,1.011964072783788,1.2073677197084014,0.8165604258591747
18.5,0.9991398900747299,1.1945436896320687,0.8037360905173911
19.0,1.004482959707578,1.1998868428592009,0.809079076555955
19.5,1.0049591610829036,1.2003630004102745,0.8095553217555327
20.0,1.005984182159106,1.201387765171245,0.8105805991469669
20.5,1.0041133513053258,1.1995163908773687,0.8087103117332828
21.0,0.9996818254391352,1.1950841600069286,0.8042794908713419
21.5,0.9966111133495966,1.1920127794258293,0.801209447273364
22.0,0.9829612721999487,1.1783625319883315,0.7875600124115658
22.5,0.9805939545234045,1.175995103551824,0.785192805494985
23.0,0.9798393845558167,1.1752405845169576,0.7844381845946758
