time (h),Predicted,Upper Bound,Lower Bound
1,0.0039048546459525824,0.005361388585765125,0.00244832070614004
2,0.0039048546459525824,0.011223109260567396,-0.0034133999686622313
3,0.008387186389882118,0.02976508715228273,-0.012990714372518496
4,0.008387186389882118,0.060912326554201174,-0.04413795377443694
5,0.022167763168302674,0.12160480699664196,-0.07726928066003662
6,0.15668348098794618,0.32274174752102114,-0.009374785545128772
7,0.29091999617715675,0.5040849313341458,0.07775506102016777
8,0.29091999617715675,0.524875265444653,0.05696472690966045
9,0.49751807500918704,0.717694276403838,0.2773418736145361
10,0.6817775120337805,0.862938595649593,0.5006164284179679
11,0.7982418636480967,0.9143126373928548,0.6821710899033385
12,0.8800526360670725,0.9514286913685961,0.8086765807655489
13,0.9374366849660873,0.9799333007914144,0.8949400691407603
14,0.9374366849660873,0.9654082318364139,0.9094651380957608
15,0.9768931319316229,1.0032932315736776,0.9504930322895682
16,1.0071871678034465,1.0344237732525186,0.9799505623543745
17,1.0071871678034465,1.0314004060050401,0.9829739296018528
18,1.0326388627290726,1.0577997788073326,1.0074779466508126
19,1.0341630826393764,1.0604610385883808,1.007865126690372
20,1.0345905770858128,1.059857656228653,1.0093234979429726
21,1.0540248900651932,1.082290573797505,1.0257592063328813
22,1.0538674543301265,1.0839256509611677,1.0238092576990854
23,1.0540248900651932,1.0847759680400357,1.0232738120903506
24,1.0540248900651932,1.0848369275702825,1.0232128525601039
25,1.0544448246558507,1.083961588980103,1.0249280603315982
26,1.0717481275399525,1.102714212707035,1.04078204237287
27,1.0717481275399525,1.1035952500540331,1.039901005025872
28,1.0544448246558507,1.083141511163352,1.0257481381483493
29,1.0540248900651932,1.0830466399138237,1.0250031402165627
30,1.0717481275399525,1.10477996534175,1.038716289738155
31,1.0702723066012065,1.103503018339343,1.03704159486307
32,1.052541916569074,1.0854384890556343,1.0196453440825135
33,1.052541916569074,1.0809778250596491,1.0241060080784987
34,1.052541916569074,1.076412357059284,1.0286714760788638
