time (h),Predicted,Upper Bound,Lower Bound
0.5,0.0015453828576331337,0.20734419437417567,0.0
1.0,0.0015453828576331337,0.2073442210863854,0.0
1.5,0.0019901299043946588,0.2077890298247449,0.0
2.0,0.004147639414441073,0.20994662303728276,0.0
2.5,0.009563058556523174,0.21536214820993557,0.0
3.0,0.02488392242230475,0.23068312679733557,0.0
3.5,0.0625431629208227,0.2683424921782373,0.0
4.0,0.14626794370512167,0.35206739313309166,0.0
4.5,0.25376580593486625,0.4595653623913879,0.047966249478344575
5.0,0.37184179698427516,0.5776414455597054,0.16604214840884485
5.5,0.5111892347534498,0.7169890377339891,0.30538943177291045
6.0,0.6380729923645655,0.8438729440906461,0.43227304063848493
6.5,0.7238052835067114,0.9296054099135207,0.518005157099902
7.0,0.7855584422747294,0.9913588522304845,0.5797580323189743
7.5,0.7861576428016027,0.9919582801045532,0.5803570054986522
8.0,0.8369562327861786,1.0427571014265191,0.6311553641458382
8.5,0.8731818298498789,1.0789829657329546,0.6673806939668032
9.0,0.8731818298498789,1.0789831642218164,0.6673804954779415
9.5,0.8794036358594894,1.0852050817057612,0.6736021900132177
10.0,0.9132238328456879,1.1190255138304093,0.7074221518609665
10.5,0.9485517591238022,1.1543535888254106,0.7427499294221938
11.0,0.9656562010447184,1.1714580687409184,0.7598543333485184
11.5,0.9742382367451986,1.1800399213327128,0.7684365521576844
12.0,0.9984676639238993,1.2042689621543503,0.7926663656934483
12.5,1.0031172782182693,1.208918238388264,0.7973163180482747
13.0,1.0042675634225209,1.210068378118762,0.7984667487262798
13.5,1.0048979222774506,1.2106988529153657,0.7990969916395354
14.0,1.0081687817970912,1.213969982322669,0.8023675812715134
14.5,1.0088576426108677,1.2146591839922376,0.8030561012294979
15.0,1.013750324646632,1.2195522126717817,0.8079484366214821
15.5,1.0189630538225174,1.224765275643045,0.8131608320019897
16.0,1.0262280851602554,1.232030612528092,0.8204255577924189
16.5,1.0303979068994522,1.236200721401515,0.8245950923973895
17.0,1.0316319912672043,1.2374350688570763,0.8258289136773322
17.5,1.0312821567058563,1.2370854974147005,0.8254788159970122
18.0,1.031654253602028,1.2374578581830207,0.8258506490210351
18.5,1.031654253602028,1.2374581063702075,0.8258504008338482
19.0,1.031175673007965,1.2369796564301698,0.8253716895857603
19.5,1.030614381035169,1.2364183844279277,0.82481037764241
20.0,1.0296087463696797,1.2354125684586936,0.8238049242806659
20.5,1.0286313494046528,1.234434623486175,0.8228280753231308
21.0,1.0275760094324748,1.2333786221961278,0.821773396668822
21.5,1.0247119814157486,1.2305139113972827,0.8189100514342145
22.0,1.02018441259861,1.2259858600975297,0.81438296509969
22.5,1.016309678554535,1.2221109604090261,0.8105083967000437
23.0,1.0160926183064778,1.221893937183062,0.8102912994298935
